judge_model,prompt_template,scotts_pi
claude_opus_4_7,minimal,0.849659795628799
claude_sonnet_4_6,minimal,0.8625204582651392
deepseek_v4_flash,minimal,0.7720019111323461
deepseek_v4_pro,minimal,0.8065704588186459
gemini_3_1_pro,minimal,0.881364644889172
gemini_3_flash,minimal,0.7926452494873548
glm_5_1,minimal,0.8693872199550944
gpt_5_5,minimal,0.8537772180993485
gpt_oss_120b,minimal,0.7230574198359432
grok_4_3,minimal,0.7981108669146447
k_exaone_236b_a23b,minimal,0.6706188156310549
kimi_k2_6,minimal,0.9622599123890825
mimo_v2_5_pro,minimal,0.8563493583604671
nemotron_3_super,minimal,0.7011413696435722
qwen_3_6_max,minimal,0.8101922020629682
qwen_3_6_plus,minimal,0.806686723644739
solar_pro_3,minimal,0.6185010373821194
